Prec,Flex,Resl,Team,Pmat,rely,cplx,data,ruse,time,stor,pvol,acap,pcap,pcon,aexp,plex,ltex,tool,sced,site,docu,kloc,effort
5,3,2,4,1,3,3,2,2,2,5,4,3,4,5,5,5,4,4,4,2,3,3.0,1.2
5,3,2,5,1,4,3,2,3,2,5,4,3,4,4,5,5,5,5,4,1,4,2.0,2.0
6,3,2,4,1,4,5,2,3,2,5,5,3,4,4,5,5,5,5,4,1,4,4.25,4.5
6,4,4,4,3,4,4,5,2,3,3,3,4,4,4,1,4,5,4,3,4,4,10.0,3.0
3,3,2,4,3,2,3,5,3,4,4,3,3,4,4,4,3,3,3,3,4,2,15.0,4.0
5,2,6,6,4,2,2,3,2,1,3,3,2,5,5,4,3,4,4,1,6,2,40.53,22.0
6,5,6,3,4,2,2,2,3,1,3,3,2,5,5,5,3,5,5,1,4,2,4.05,2.0
3,1,5,3,2,2,5,1,4,5,5,5,2,2,4,5,3,3,3,3,5,3,31.845,5.0
1,1,3,1,2,1,3,2,5,2,3,3,2,2,4,5,4,4,4,3,4,3,114.28,18.0
3,1,5,2,2,1,4,3,5,1,5,5,2,2,5,5,4,5,4,3,3,2,23.106,4.0
4,3,5,4,2,2,3,3,3,2,3,3,2,5,4,5,3,3,4,5,5,4,1.369,1.0
2,3,3,4,3,2,2,4,4,3,3,3,2,2,4,5,4,3,4,5,5,4,1.611,2.1
